user,text,date,helpful,source,year,wc,vader,sent,Login / OTP / Authentication,Bill Payment Flow,Web Redirect / Not Native,Rewards / MR Points,Offers / Amex Offers,Statement / Transactions / Balance,App Stability (crash/bug/slow),UI / UX / Design,Customer Service / Support,Card Controls / Servicing,Update / Version Regression,Notifications / Alerts,Onboarding / Registration / KYC,Feature Gaps vs Global App,Fees / Charges / Annual Fee
Sonal,"Hi, I want to request you for adding menu regarding total spending or yearly spending on the card for cycle by which we can know whether AMC is going to attract on our card or not. By adding this, customers can plan the spending to save the AMC. AMC period on the card should also be mentioned. Hope to see such features in the app. Thank you.",2021-05-28,29,relevance,2021,67,0.886,positive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oj Sharma,Not a very easy features app.....??? Updates takes toooooo much time....???? Should reflect immediately....!!!! Lot of scope for improvement.... Amex have outsourced it's operations to standard chartered bank 🏦.....??? Very Very bad 👎 😕 decision.....? Call center is OK 👍 👌... !!!!!......VERY BAD 👎 TO KNOW THAT ITS OPERATION IS NOT IN HOUSE....????,2022-02-05,27,relevance,2022,53,-0.7442,negative,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
A Google user,Very nice interface after the update. Fingerprint authentication was much awaited feature in the application. Also now you can track ur monthly 1000 bonus points easily. Also the notification feature is good. Your Exclusive rewards program is superb. Well done!,2019-02-08,27,relevance,2019,40,0.9678,positive,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False
Sridhar Rammurthy,"Using the app since 2016. Despite registering the cards on the app, for making a payment I need to manually enter to the card details everytime, Instead of it self populating or an easy drop down like other banking apps. Quite inconvenient.",2021-03-29,25,relevance,2021,42,0.1548,neutral,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Google user,"the app all of a sudden isnt opening and it says unable to connect wirh american express, please ensure you are on a trusted wireless network and ensure you have the latest amex app. tried uninstalling and reinstalled, same error apears instantly",2019-07-03,24,relevance,2019,42,0.7845,positive,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
A Google user,Lazy developers... even if you try to make a credit card bill payment from app... it goes to browser and asks card number... you should make it done within the app and not in a browser.,2019-07-31,24,relevance,2019,36,0.1027,neutral,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Nikhil Baranwal,"The app was good before they started sending push notifications instead of otp for transactions. And that push notification will never come. You will have to click on send otp every time. Why can't we just get otp in first place. Now i will get a reply on this by amex stupid marketing team saying ""sorry for the inconvenience"" but they will not give the solution. What a waste.",2020-08-31,24,relevance,2020,69,-0.807,negative,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Arijita,Horrible Credit Card Service Provider. Not at all Customer Friendly policies nor Customer Friendly Managers or Supervisors. When it comes to in terms of actions no tenure appreciation. I don't mean in words because Amex is too full of words but not in actual servicing nor helping Card Members when they are in need.,2021-12-07,23,relevance,2021,54,-0.6055,negative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ABHRAJYOTI BERA,"Card payment option should be more easy. When anyone logged in through the secured login id password, do we need to enter the card details for payment of dues. It's should be automatically synchronised. It is not possible to recall card number and if anyone using his/her secured login, why is it necessary to enter card details for payment. Rest are okay.",2020-08-03,23,relevance,2020,62,0.8687,positive,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Jayesh Thakkar,"It seems that app is secured and excellent but as I use many bank apps I feel that it should increase its utility, such as at the time of card repayment the details of card will be inbuilt or automatically appear , as well as minimum or total payable amount should automatically display with option of a single click .",2022-01-17,23,relevance,2022,60,0.8316,positive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
